ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA;0;0.52237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51797;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA|t__GCF_000185625;0;0.52237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51797;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_HGA1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15653;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_HGA1|t__GCF_000191845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15653;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified;0.13324;0.11472;0.03574;0.32584;0;1.12542;1.07368;0.41545;0.14183;0.04788;0.00705;0.19196;0.02662;0.00086;0.18147;0.83413;0.07852;0.00051;0.0351;0.00092;0.30352;0.43041;0.87128;0;0.03302;0.73313;0.57526;0.64646
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter;0.00105;0.03626;0;0.02996;0;0;0.27131;0.06361;0;0.00092;0.01137;0.37279;0;0;0.04229;0.16026;0;0;0;0;0;0;0;0;0.00021;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae;0.00105;0.03626;0;0.02996;0;0;0.27131;0.06361;0;0.00092;0.01137;0.37279;0;0;0.04229;0.16026;0;0;0;0;0;0;0;0;0.00021;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055;0.00105;0.03626;0;0.02996;0;0;0.27131;0.06361;0;0.00092;0.01137;0.37279;0;0;0.04229;0.16026;0;0;0;0;0;0;0;0;0.00021;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella;0;0;0;0;0;0;0;0;0;0.00195;0;0;0;0;0;0;0;0;0;0.00353;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified;0;0;0;0;0;0;0;0;0;0.00195;0;0;0;0;0;0;0;0;0;0.00353;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia;0;0;0;0;0;0;0;0;0;1.10923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7929;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis;0;0;0;0;0;0;0;0;0;1.10923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7929;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis|t__GCF_000296445;0;0;0;0;0;0;0;0;0;1.10923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7929;0;0;0
k__Bacteria|p__Bacteroidetes;55.95921;12.07169;11.18204;59.6324;4.38172;45.19833;35.85687;36.08866;18.80116;4.04877;18.76205;15.20014;6.29454;7.79656;13.63806;43.67408;3.39607;9.58149;1.12801;14.21045;5.84951;31.65164;14.09275;12.26878;21.45276;8.46465;24.3758;32.35468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia;55.95921;12.07169;11.18204;59.6324;4.38172;45.19833;35.85687;36.08866;18.80116;4.04877;18.76205;15.20014;6.29454;7.79656;13.63806;43.67408;3.39607;9.58149;1.12801;14.21045;5.84951;31.65164;14.09275;12.26878;21.45276;8.46465;24.3758;32.35468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales;55.95921;12.07169;11.18204;59.6324;4.38172;45.19833;35.85687;36.08866;18.80116;4.04877;18.76205;15.20014;6.29454;7.79656;13.63806;43.67408;3.39607;9.58149;1.12801;14.21045;5.84951;31.65164;14.09275;12.26878;21.45276;8.46465;24.3758;32.35468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae;35.26414;9.52915;7.27758;56.84847;3.66021;43.77545;27.27057;31.29058;14.97519;2.56621;15.95108;12.85344;5.71097;3.23949;11.19853;30.87561;3.39607;3.88549;0.84343;6.70964;4.09381;24.43673;12.31248;9.68207;13.18062;6.19268;20.35026;31.70442
