# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S082_2017_Jun_06_19_10_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:17:20 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B2-S082-T00(raw),MZ002H-Pool01-P008B2-S082-T12(raw),MZ002H-Pool02-P008B2-S082-T00(raw),MZ002H-Pool02-P008B2-S082-T12(raw),MZ002H-Pool03-P008B2-S082-T00(raw),MZ002H-Pool03-P008B2-S082-T12(raw),MZ002H-Pool04-P008B2-S082-T00(raw),MZ002H-Pool04-P008B2-S082-T12(raw),MZ002H-Pool05-P008B2-S082-T00(raw),MZ002H-Pool05-P008B2-S082-T12(raw),MZ002H-Pool06-P008B2-S082-T00(raw),MZ002H-Pool06-P008B2-S082-T12(raw),MZ002H-Pool07-P008B2-S082-T00(raw),MZ002H-Pool07-P008B2-S082-T12(raw),MZ002H-Pool08-P008B2-S082-T00(raw),MZ002H-Pool08-P008B2-S082-T12(raw),MZ002H-Pool09-P008B2-S082-T00(raw),MZ002H-Pool09-P008B2-S082-T12(raw),MZ002H-Pool10-P008B2-S082-T00(raw),MZ002H-Pool10-P008B2-S082-T12(raw),MZ002H-Pool11-P008B2-S082-T00(raw),MZ002H-Pool11-P008B2-S082-T12(raw),MZ002H-Pool12-P008B2-S082-T00(raw),MZ002H-Pool12-P008B2-S082-T12(raw),MZ002H-Pool13-P008B2-S082-T00(raw),MZ002H-Pool13-P008B2-S082-T12(raw),MZ002H-Pool14-P008B2-S082-T00(raw),MZ002H-Pool14-P008B2-S082-T12(raw),MZ002H-Pool15-P008B2-S082-T00(raw),MZ002H-Pool15-P008B2-S082-T12(raw),MZ002H-Pool16-P008B2-S082-T00(raw),MZ002H-Pool16-P008B2-S082-T12(raw),MZ002H-Pool17-P008B2-S082-T00(raw),MZ002H-Pool17-P008B2-S082-T12(raw),MZ002H-Pool18-P008B2-S082-T00(raw),MZ002H-Pool18-P008B2-S082-T12(raw),MZ002H-Pool19-P008B2-S082-T00(raw),MZ002H-Pool19-P008B2-S082-T12(raw),MZ002H-Pool20-P008B2-S082-T00(raw),MZ002H-Pool20-P008B2-S082-T12(raw),MZ002H-Pool21-P008B2-S082-T00(raw),MZ002H-Pool21-P008B2-S082-T12(raw),MZ002H-Pool97-P008B2-S082-T00(raw),MZ002H-Pool97-P008B2-S082-T12(raw),MZ002H-Pool98-P008B2-S082-T00(raw),MZ002H-Pool98-P008B2-S082-T12(raw),MZ002H-Pool99-P008B2-S082-T00(raw),MZ002H-Pool99-P008B2-S082-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
335.159@2.8964999,31062,33748,1,1,1,1,1,19406,32000,1,28063,1,1,1,24083,22333,29456,30833,25742,25379,1,1,1,1,1,27353,27536,31221,26550,1,25501,26524,30736,32193,27793,28653,25873,24057,1,23014,28648,30347,26022,1,31221,30593,1,27131,335.159@2.8964999,335.159,2.8964999,30,+,"(336.1663, 7768.8)(337.1664, 1959.6)(338.1617, 1537.04)"
328.1947@2.8948333,78863,114597,82418,87174,1,1,1,1,104295,100569,77327,78743,1,77195,75809,1,98276,79597,1,65349,1,1,1,1,74324,78033,94021,89216,1,48593,1,1,82863,80972,88841,79857,1,1,1,1,91439,80694,1,1,1,1,1,1,328.1947@2.8948333,328.1947,2.8948333,24,+,"(329.2028, 4979.67)(330.2016, 1071.11)(657.3965, 11975.86)(658.3977, 4769.88)(659.4006, 1569.94)"
727.4246@2.9097,1,1,24139,1,1,1,24149,1,25358,1,1,1,1,1,1,1,1,28882,1,1,24500,1,1,1,1,1,1,25825,1,1,1,1,1,1,1,1,1,1,1,21910,23268,24151,23694,1,1,1,1,1,727.4246@2.9097,727.4246,2.9097,10,+,"(728.4319, 5096.89)(729.4356, 2523.32)(730.4148, 2327.95)"
624.3715@2.9008498,26884,27712,27182,25868,1,1,1,1,27482,26926,25495,1,1,1,25018,1,25072,24596,1,1,1,1,1,18995,22976,23226,23522,25299,1,1,1,1,25143,1,1,1,1,1,1,1,23017,24779,1,1,24687,25274,1,1,624.3715@2.9008498,624.3715,2.9008498,20,+,"(625.3775, 6782.73)(626.379, 2540.4)"
448.7712@2.8946667,1,28584,1,1,1,1,1,1,32735,1,1,1,1,1,1,1,35425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,448.7712@2.8946667,448.7712,2.8946667,3,+,"(449.779, 5612.68)(450.7768, 1261.85)(898.5467, 418.01)"
649.3596@2.8939474,1,1,87129,91267,1,1,1,1,83517,92508,86983,98822,1,1,1,1,76806,98009,98669,82029,1,1,1,1,87342,99159,83225,1,1,1,1,1,89182,92074,78169,58918,1,1,1,1,1,89165,1,1,1,81735,1,1,649.3596@2.8939474,649.3596,2.8939474,19,+,"(650.3666, 26605.53)(651.3632, 4435.92)"
390.1619@2.9160478,1,39173,36083,45165,1,1,1,1,43932,43917,1,45256,35397,34536,1,36530,33993,1,1,1,1,1,1,37042,1,44706,1,38800,1,37218,1,37320,1,1,1,42263,1,1,1,1,37900,34538,1,1,36960,45463,33842,1,390.1619@2.9160478,390.1619,2.9160478,21,+,"(391.1692, 8305.46)(392.1845, 1641.97)(393.1657, 717.51)"
359.1643@2.9310582,100597,94821,96383,90339,70641,1,1,72320,103435,96313,94660,91192,71055,42380,1,1,96264,92446,94882,81832,1,52789,1,71474,1,87608,1,87868,69614,67406,71355,38030,93350,85704,90095,1,73461,71089,1,1,101212,92259,70694,1,99777,83204,1,1,359.1643@2.9310582,359.1643,2.9310582,34,+,"(360.171, 18888.13)(361.1689, 8515.8)(362.1686, 2734.81)(363.1697, 356.93)"
531.756@2.92,1,1,1,1,1,1,1,1,398274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,531.756@2.92,531.756,2.92,1,+,"(532.7633, 116770.06)(533.7649, 11633.64)(534.7615, 3467.92)"
562.8032@2.9664373,1,40064,40427,1,28014,34836,1,42429,46148,42363,1,33289,34906,39880,42069,34597,45494,1,33902,38601,44520,41562,42204,44270,39651,1,1,1,48168,33525,1,33382,45390,37048,28286,35080,1,42728,1,42335,1,40037,1,39409,1,1,1,37874,562.8032@2.9664373,562.8032,2.9664373,32,+,"(585.798, 1479.78)(563.8104, 8536.44)(564.8047, 4168.6)(565.8163, 1461.88)(601.7718, 808.02)"
408.1917@2.9605,1,1,1,1,1,1,1,1,252844,1,1,1,1,1,1,1,278464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,408.1917@2.9605,408.1917,2.9605,2,+,"(409.2, 4248.64)(410.1969, 884.15)(411.1989, 2329.55)(817.3912, 23199.22)(818.3941, 10046.5)(819.4013, 2168.66)"
636.4205@2.980913,1,40535,1,1,1,1,1,31076,34656,33954,36103,34603,1,1,1,36161,1,39639,38254,32765,1,1,36380,29650,1,34708,39563,1,35027,1,1,36009,1,1,1,33452,1,32403,1,35372,1,35862,34139,1,1,35612,1,34373,636.4205@2.980913,636.4205,2.980913,23,+,"(659.4068, 1008.17)(637.428, 8757.3)(638.4314, 3061.45)(639.4366, 774.46)"
513.7205@2.9757142,1,1,23306,1,1,1,20888,1,21623,1,1,1,1,1,1,1,1,1,22764,1,1,1,1,1,1,1,21539,1,1,17093,1,1,1,20196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,513.7205@2.9757142,513.7205,2.9757142,7,+,"(514.7278, 5939.48)(515.7264, 2351.51)"
604.8005@2.9980235,33970,27311,38842,36400,54309,52694,32915,39169,54441,1,60002,31641,1,46199,1,55943,58018,32328,38771,30852,33911,54190,38927,40666,54090,40645,50843,44754,41461,30036,38470,51907,44108,50892,1,52326,56112,35582,1,53170,55015,33421,38191,49175,40901,55085,44630,52547,604.8005@2.9980235,604.8005,2.9980235,43,+,"(605.8079, 6922.15)(606.8156, 2933.52)(607.8158, 5307.58)"
301.2413@2.988875,1,1,1,1,1,1,1,1,4328293,4038270,1,1,4628663,4501271,1,1,1,1,1,1,1,1,1,1,1,1,4438427,4788265,1,1,1,1,1,1,3979862,4297529,1,1,1,1,1,1,1,1,1,1,1,1,301.2413@2.988875,301.2413,2.988875,8,+,"(302.2485, 1189069.0)(303.2519, 235145.1)(304.2544, 20601.16)(305.258, 1491.85)"
581.7956@2.9980001,63988,67743,63369,69708,63672,57640,68527,55120,64050,58826,64753,65166,1,54764,70400,58935,73426,63361,76789,53454,59924,53664,65073,62436,62176,68285,58440,77656,68935,72214,66830,60339,65425,61982,62771,67301,60332,1,1,61523,72783,63466,58653,69429,59253,58394,71218,62266,581.7956@2.9980001,581.7956,2.9980001,45,+,"(604.7869, 877.43)(582.8032, 18325.81)(583.8123, 1471.95)(584.8058, 1030.34)"
458.2627@3.0010529,1,1,50631,1,1,1,1,49448,45377,51883,1,1,1,1,1,50562,55461,52921,35809,1,1,1,1,46242,1,47031,52003,1,1,44238,1,1,1,1,33889,46124,1,1,1,1,1,1,1,55865,56773,57773,43849,64331,458.2627@3.0010529,458.2627,3.0010529,19,+,"(459.2695, 8024.01)(460.264, 2386.17)(955.4858, 360.47)(956.4851, 318.08)(957.4631, 350.82)"
454.2841@3.0091999,3431018,3683688,1,1,4298094,3651355,4243663,3811977,4048921,3610936,1,1,1,1,1,1,28572,28646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,454.2841@3.0091999,454.2841,3.0091999,10,+,"(455.2913, 1080719.9)(456.2948, 287538.3)(457.2971, 39192.38)(458.2991, 4520.7)"
669.3823@3.0001667,58614,60097,60554,1,57156,1,1,1,64984,1,1,52229,50575,1,1,51722,54792,1,1,1,1,1,1,48870,37807,55650,43974,67162,1,1,1,1,59259,1,1,57235,1,1,1,56196,55330,1,1,1,1,1,1,1,669.3823@3.0001667,669.3823,3.0001667,18,+,"(670.3894, 12706.47)(671.3853, 8352.04)"
599.3329@3.0181668,1,1,1,1,1,1,1,1,16796,1,1,27896,1,1,1,1,1,1,1,1,1,1,24020,1,1,1,1,1,1,1,27607,26787,1,1,1,1,1,1,1,1,1,1,1,22813,1,1,1,1,599.3329@3.0181668,599.3329,3.0181668,6,+,"(600.3414, 5759.67)(601.3312, 2200.3)"
508.7797@3.0170004,1,44124,1,32963,29808,1,1,1,29049,1,1,38013,31053,1,1,1,36242,32187,1,1,32138,1,36685,1,1,1,31706,1,1,1,1,32590,30849,31983,28665,25152,33839,1,1,34580,32012,33243,38301,1,1,27446,1,1,508.7797@3.0170004,508.7797,3.0170004,22,+,"(531.7718, 1299.33)(509.7807, 8593.58)(510.7877, 2366.56)(511.7923, 1619.27)"
570.8475@3.00775,36419,1,1,34372,1,1,1,1,39837,1,1,38783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37995,1,1,1,44997,1,1,1,1,1,1,1,37065,1,1,39371,1,1,1,1,570.8475@3.00775,570.8475,3.00775,8,+,"(593.8363, 8451.97)(571.8554, 914.0)(609.8112, 1630.29)(610.8144, 583.43)"
387.1614@3.0034287,1,46927,45140,1,1,1,1,1,37901,1,1,1,1,1,1,1,46639,1,1,1,1,1,1,1,1,1,1,41023,1,1,1,1,45692,36228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,387.1614@3.0034287,387.1614,3.0034287,7,+,"(388.1691, 5508.89)(389.1694, 2169.19)(390.1729, 4512.54)"
312.1671@3.047,1,1,1,1,1,1,1,1,3849429,3740751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3803115,4078869,1,1,3994488,3690348,4422747,3735472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,312.1671@3.047,312.1671,3.047,8,+,"(313.1742, 1088761.2)(314.1774, 194244.23)(315.1735, 37138.09)(316.1748, 7468.39)(317.1758, 878.05)"
113.1206@3.047875,1,1,1,1,1,1,1,1,60327,53721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63657,64502,1,1,69411,56845,67140,57835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,113.1206@3.047875,113.1206,3.047875,8,+,"(114.1279, 17688.56)(115.1312, 1263.2)"
197.0305@2.962375,1,1,91670,86892,1,1,1,1,142732,141808,1,1,93028,89738,102966,98577,1,1,1,1,1,1,1,1,136266,149191,1,1,158264,134609,164329,135493,1,1,1,1,1,1,1,1,73243,72023,1,1,1,1,1,1,197.0305@2.962375,197.0305,2.962375,16,+,"(198.0377, 41778.08)(199.0409, 5316.77)(200.0345, 1848.78)"
239.0777@2.979857,1,1,28421,30968,1,1,1,1,40599,42313,1,1,27012,26977,29510,30229,1,1,1,1,1,1,1,1,38570,42598,1,1,45247,37047,47714,39292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,239.0777@2.979857,239.0777,2.979857,14,+,"(240.0849, 11544.53)(241.0903, 1887.44)(242.0815, 530.86)"
748.3556@3.048317,33851,40017,33761,1,46226,33582,42405,35711,37545,1,35689,32907,38468,38538,42523,39904,39294,27428,36168,33462,41682,37789,42042,32901,37469,29799,1,36193,41463,36881,41098,37339,1,33201,38999,1,42059,37988,1,39851,38587,35211,47000,42055,43326,1,38715,38133,748.3556@3.048317,748.3556,3.048317,41,+,"(771.3435, 514.19)(749.3625, 7030.75)(750.369, 2094.37)(751.3595, 1327.39)"
450.1854@3.0462506,46387,42673,1,1,42194,42545,58701,54939,54637,52417,44688,41952,1,1,43047,41336,1,1,44464,38426,50319,48625,42782,42576,1,1,1,44397,1,1,44694,1,1,1,1,40134,57214,56021,1,1,1,59028,44760,44899,1,1,46935,49338,450.1854@3.0462506,450.1854,3.0462506,28,+,"(451.1926, 11076.0)(452.1944, 6575.44)(453.1994, 1944.81)"
333.2313@3.0362499,1,1,1,1,1,1,1,1,2662382,2523977,2840326,2785755,1,1,1,1,2850950,2514069,1,1,1,1,1,1,1,1,1,1,1,1,2871703,2630671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,333.2313@3.0362499,333.2313,3.0362499,8,+,"(334.2385, 582384.4)(335.2416, 114662.0)(336.2439, 12827.66)(337.2464, 1126.65)"
271.0848@3.0607142,1,29473,1,1,1,1,1,1,39731,27366,1,1,1,1,1,1,1,1,1,1,43233,30956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47451,35726,1,1,1,1,1,1,1,1,1,1,271.0848@3.0607142,271.0848,3.0607142,7,+,"(272.0921, 10191.42)(273.0954, 1659.13)(274.0933, 504.88)"
515.2072@3.0555336,1,1,1,1,1,1,1,1,34187,1,30262,1,1,31859,1,1,33811,29955,33592,1,1,1,37965,31556,1,1,36718,1,1,30859,1,1,1,32934,32120,1,37640,1,1,1,1,1,1,1,1,1,32422,24357,515.2072@3.0555336,515.2072,3.0555336,15,+,"(516.2136, 5835.84)(517.2217, 1397.82)"
539.7964@3.0203846,61953,1,1,1,1,69370,1,60076,58658,1,1,1,145088,68773,55933,61743,1,75766,135275,1,64518,61104,63000,119857,1,1,75542,1,70485,1,62902,65890,71775,1,1,78674,57478,1,1,135995,1,1,147204,140583,70757,1,1,76380,539.7964@3.0203846,539.7964,3.0203846,26,+,"(540.8046, 9835.25)(541.7971, 3498.14)(542.7889, 1271.43)"
567.2813@3.0483332,1,646682,1,625040,1,1,1,1,679812,1,1,625672,1,1,1,1,1,1,701889,1,1,1,1,1,1,589791,693181,1,1,1,1,74684,1,661345,691625,1,1,1,1,1,698834,1,1,1,1,637176,1,1,567.2813@3.0483332,567.2813,3.0483332,12,+,"(568.2886, 6822.74)(569.3, 3470.43)(570.2692, 150957.36)(571.2723, 14298.75)"
385.8311@3.0421333,1,53447,1,1,1,1,1,1,61344,47225,55375,44441,1,1,1,1,52017,1,58366,1,1,1,1,1,51778,47021,1,48466,1,1,1,1,49644,52360,1,52679,1,1,1,1,56070,46097,1,1,1,1,1,1,385.8311@3.0421333,385.8311,3.0421333,15,+,"(386.8384, 11983.84)(387.836, 2251.6)(388.8377, 1015.03)(772.6688, 454.2)"
579.2455@3.0140712,50600,1,51089,1,1,1,1,1,48000,1,45749,1,1,1,40114,38219,45257,1,40661,1,1,1,1,1,53988,49100,1,1,1,1,45529,39714,1,1,39567,1,1,1,1,1,1,1,1,1,48750,1,1,1,579.2455@3.0140712,579.2455,3.0140712,14,+,"(580.2524, 6935.11)(581.258, 4155.35)(582.2493, 1463.14)"
335.2018@3.0657797,161177,170282,159326,151698,148778,1,163447,136735,150246,144903,144004,129851,144492,112897,122314,137509,168603,139887,140460,125276,144471,132204,1,140155,135175,131756,152274,151063,109907,109160,142959,133484,153023,145063,129018,156909,143643,1,1,129301,151244,156116,1,151301,154538,1,1,141642,335.2018@3.0657797,335.2018,3.0657797,41,+,"(693.3974, 859.7)(336.2103, 3197.83)(337.2157, 594.58)(338.1971, 1347.79)(671.4095, 14495.44)(672.4104, 5285.67)(673.4163, 1305.68)"
579.7469@3.0609999,53306,1,43132,41561,28217,28397,33637,30853,50268,34765,49485,34569,1,1,1,1,37805,40106,47932,42655,38376,37955,36320,27692,46395,34472,46812,39960,1,1,1,1,47975,37420,53259,1,27837,22092,1,1,41149,38150,42093,1,48860,37123,40141,1,579.7469@3.0609999,579.7469,3.0609999,34,+,"(580.7554, 7525.71)(581.755, 2481.45)(582.7496, 1411.13)"
491.2589@3.0892272,1,1,1,43076,1,46194,1,28940,51670,33722,1,1,46787,1,34049,38619,40277,35314,37036,1,41223,1,1,1,36979,1,1,49987,1,1,52360,44801,1,1,1,1,47490,1,1,39551,44228,1,45899,1,43385,1,1,48081,491.2589@3.0892272,491.2589,3.0892272,22,+,"(492.2666, 9442.98)(493.2672, 1615.0)(494.2646, 1008.99)(530.2231, 734.63)(983.5178, 1888.97)(984.5203, 1182.34)(985.5383, 677.42)"
176.1079@3.073875,1,1,1,1,1,1,1,1,420408,339078,1,1,1,1,1,1,1,1,1,1,502196,597093,1,1,1,1,1,1,1,1,1,1,677714,610384,456187,403371,1,1,1,1,1,1,1,1,1,1,1,1,176.1079@3.073875,176.1079,3.073875,8,+,"(199.0975, 2782.43)(200.1019, 455.14)(201.1028, 461.63)(177.1152, 191465.02)(178.1183, 20920.54)(179.1148, 1992.13)"
219.1374@3.074125,1,1,1,1,1,1,1,1,113467,98615,1,1,1,1,1,1,1,1,1,1,136975,166022,1,1,1,1,1,1,1,1,1,1,184343,170208,128899,114934,1,1,1,1,1,1,1,1,1,1,1,1,219.1374@3.074125,219.1374,3.074125,8,+,"(242.1262, 2701.71)(243.1258, 814.34)(244.1295, 506.56)(220.1449, 43048.73)(221.1477, 7030.56)(222.1492, 495.28)"
656.2586@3.0964284,1,1,1,1,1,1,1,1,50004,1,1,1,1,1,62255,42295,1,1,1,1,46236,33725,1,1,55014,31485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,656.2586@3.0964284,656.2586,3.0964284,7,+,"(657.2659, 12693.86)(658.2698, 5068.86)"
412.8561@3.081,1,1,1,1,1,1,1,1,23178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,412.8561@3.081,412.8561,3.081,1,+,"(413.8634, 5134.73)(414.8645, 938.62)"
431.702@3.0899563,45592,48870,40148,1,1,1,1,1,47470,40435,36207,42861,1,1,1,1,20035,42004,1,45863,36861,42664,1,1,39923,40289,39088,1,1,1,1,32651,38570,43229,42214,1,1,27723,1,1,37522,39663,1,1,1,36784,1,1,431.702@3.0899563,431.702,3.0899563,23,+,"(432.7017, 2772.68)(433.7009, 1064.59)(434.6882, 5688.41)"
600.8112@3.1083412,123296,119273,113019,104293,104577,98341,92862,23288,122599,100798,108938,107802,114452,107824,116143,107455,1,107786,117148,99923,107580,105603,112803,96943,97850,99995,115381,1,120109,99273,100470,105030,117124,108860,71908,109316,108952,103210,1,100223,116266,108525,114456,105381,1,108683,104844,110592,600.8112@3.1083412,600.8112,3.1083412,44,+,"(601.8182, 23788.35)(602.8201, 3571.59)(603.8157, 875.55)"
552.7745@3.0678926,99609,1,1,147351,1,21632,91802,100079,369334,117293,303469,272295,94235,88999,97666,88544,200489,195819,1,1,87971,102935,94274,81681,1,239473,1,292737,101245,77142,1,90144,265145,260706,170371,264270,86275,84227,1,90572,1,93319,91390,96174,1,85761,106519,87088,552.7745@3.0678926,552.7745,3.0678926,37,+,"(553.7804, 40235.0)(554.7831, 9590.85)(555.7698, 1600.81)"
409.1788@3.0834286,1,1,37954,1,1,1,1,1,51762,1,1,1,1,1,1,43952,1,50708,1,1,1,1,1,1,1,1,1,47234,1,1,1,1,1,1,1,1,1,1,1,1,1,55980,1,1,1,1,1,35004,409.1788@3.0834286,409.1788,3.0834286,7,+,"(841.3464, 331.17)(410.1845, 5750.77)(411.1843, 2133.03)(412.1864, 4471.81)(413.1879, 978.59)"
771.8924@3.0903332,1,1,1,1,1,1,1,1,92727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81401,1,1,1,1,1,1,1,75713,1,1,1,1,1,1,771.8924@3.0903332,771.8924,3.0903332,3,+,"(772.8997, 15511.04)(773.8992, 2876.89)(774.905, 4766.99)"
768.9009@3.0906668,1,1,1,1,1,1,1,1,162250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,149868,1,1,1,1,1,1,1,141651,1,1,1,1,1,1,768.9009@3.0906668,768.9009,3.0906668,3,+,"(769.9082, 777.15)(770.9092, 390.22)(771.897, 42008.69)"
778.8756@3.1104383,77538,60560,73474,1,45196,47945,1,45110,64309,1,52111,54980,1,50644,51340,47660,65566,1,64721,1,52004,42355,53389,48331,63214,50589,78864,57347,52960,51251,46212,48175,76907,55362,72558,60726,51144,51516,1,41400,61596,58683,49473,41783,74801,57019,53950,45925,778.8756@3.1104383,778.8756,3.1104383,41,+,"(779.8828, 11222.99)(780.8845, 6972.37)(781.8834, 3755.53)"
585.3041@3.1120954,1,129676,125709,110736,107562,1,117641,99122,125070,120354,110374,107663,114231,104631,113735,114187,119590,107320,118024,100452,107081,107973,110286,140154,106900,142763,112107,129212,118138,118751,1,1,112333,111509,110589,109548,113149,1,1,104847,108222,106415,86712,116224,108514,119168,114274,115717,585.3041@3.1120954,585.3041,3.1120954,42,+,"(586.3117, 20527.43)(587.3188, 6141.48)(588.3146, 2841.18)"
438.2345@3.1029615,98880,101075,109255,115943,1,1,1,1,110846,98071,78478,88988,1,1,1,1,1,91501,117063,99729,1,1,1,106155,92207,51916,99850,96164,1,129700,1,1,1,1,46587,45056,128335,1,1,98688,105384,80631,93720,1,48717,76354,1,1,438.2345@3.1029615,438.2345,3.1029615,26,+,"(439.243, 10955.53)(440.247, 8962.88)(441.2495, 2589.51)(877.4737, 7830.56)(878.4759, 3692.87)(879.4812, 1293.13)(880.5019, 0.0)"
446.7207@3.1195,46298,70384,1,47170,1,43098,1,1,45399,1,1,44889,1,43113,49704,44432,48911,1,46096,40956,46805,47945,48154,45770,43835,41817,46423,43211,49450,44667,1,1,41249,41671,1,48102,53310,46940,1,36468,1,1,47968,46674,46201,46301,46136,48001,446.7207@3.1195,446.7207,3.1195,34,+,"(447.7277, 14217.63)(448.7331, 2533.89)(449.7271, 934.63)(894.4477, 682.44)(895.4454, 648.0)(896.4671, 830.83)"
548.2994@3.115842,33429,37766,32103,31699,1,1,1,27310,36109,1,1,30806,1,30347,1,26510,1,29632,31939,1,1,1,1,1,1,34340,1,1,1,1,35715,34124,1,32451,27159,1,1,1,1,1,1,1,1,1,1,39541,32596,26210,548.2994@3.115842,548.2994,3.115842,19,+,"(549.3065, 7678.99)(550.2977, 3440.54)"
829.4079@3.123625,1,41884,1,1,39515,1,1,1,48378,34508,1,1,1,1,69366,37113,50030,1,1,1,1,39193,1,41594,38869,1,1,42083,1,36605,1,35555,1,37605,1,1,38562,1,1,1,1,1,1,1,37375,1,1,1,829.4079@3.123625,829.4079,3.123625,16,+,"(852.3975, 2497.33)(853.3815, 2083.63)(854.3912, 1107.32)(830.4152, 9149.59)(831.4206, 4507.44)(832.424, 2112.96)(833.413, 453.48)"
563.303@2.9995,22430,1,1,1,1,1,1,1,23380,1,1,1,48334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26854,1,1,1,1,1,1,1,1,1,1,1,1,563.303@2.9995,563.303,2.9995,4,+,"(564.3117, 8914.87)(565.314, 3071.97)"
665.6434@3.1104708,58115,47693,49062,1,1,1,41382,1,46226,1,48254,1,1,1,1,1,53382,1,42068,1,1,1,1,1,1,1,48134,53786,1,1,35965,1,44176,41243,1,40377,1,1,1,1,45614,41528,1,1,1,44492,1,1,665.6434@3.1104708,665.6434,3.1104708,17,+,"(666.6506, 6354.28)(667.6561, 1643.91)(668.6625, 1043.09)"
489.2688@3.1308434,117207,125147,1,1,106227,1,1,103257,83104,1,134544,122712,129910,1,93059,120752,118943,101501,93347,92016,159010,137572,122261,111916,1,98212,101280,1,126142,1,1,87615,126176,130681,118786,71660,1,115789,1,109829,1,133784,1,132067,108049,94270,1,1,489.2688@3.1308434,489.2688,3.1308434,32,+,"(512.2586, 4183.39)(490.276, 27520.37)(491.2833, 16316.94)(492.2748, 3140.64)"
740.8351@3.1559,1,19493,1,1,1,1,1,23762,25490,1,18675,1,1,1,1,19248,1,1,1,1,1,1,1,23321,1,1,23442,1,1,1,22849,1,1,1,1,20082,24984,1,1,1,1,1,1,1,1,1,1,1,740.8351@3.1559,740.8351,3.1559,10,+,"(741.8424, 5568.03)(742.8633, 2119.9)(743.8804, 454.08)"
478.2699@3.1530788,83982,98224,80319,79177,65563,70333,77699,77921,84542,72854,69861,96536,84960,83879,1,60428,1,85116,71482,65193,83489,80084,1,66905,59955,1,68032,85935,76936,90531,92245,95915,77597,74525,56928,65024,68013,88588,1,1,69100,1,1,1,60097,48940,1,100135,478.2699@3.1530788,478.2699,3.1530788,38,+,"(979.5296, 1340.65)(980.5319, 720.26)(981.5166, 393.73)(479.2769, 10752.48)(480.2743, 3024.94)(481.2654, 3883.71)(995.4979, 393.88)(957.5417, 579.02)"
442.7665@3.1415417,1,1,14419,14386,13452,1,1,1,15012,14620,1,16365,1,17896,1,1,1,16398,1,15422,1,1,16672,18436,13746,16037,1,16009,13511,1,17368,1,16033,16804,1,14684,1,1,1,1,1,15706,1,14193,1,16833,15172,16457,442.7665@3.1415417,442.7665,3.1415417,24,+,"(443.7736, 6798.89)(444.7718, 895.39)"
622.2527@3.164375,1,1,1,1,1,1,1,1,53787,43762,1,1,1,1,60158,50243,1,1,1,1,48936,33495,1,1,46698,39158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,622.2527@3.164375,622.2527,3.164375,8,+,"(623.2601, 13057.49)(624.265, 4714.94)(625.2702, 1600.46)"
